QuestionNumber | Module | TopicCode | TopicName | AssessmentCriterion | QuestionType | Stem | OptionA | OptionB | OptionC | OptionD | OptionE | CorrectAnswer | Marks | BloomLevel
129 | KM-04 | KT0503 | Tool Sharpening & Maintenance | Drill bits | MCQ | A drill bit is sharpened on a: | Bench grinder | Belt sander | Hacksaw | File | Lathe | A | 1 | Remember
130 | KM-04 | KT0503 | Tool Sharpening & Maintenance | Drill bits | TF | Drill bits must be sharpened symmetrically on both sides. | True | False |  |  |  | A | 1 | Apply
131 | KM-04 | KT0503 | Tool Sharpening & Maintenance | Drill bits | MCQ | The point angle of a standard twist drill is: | 59¯ | 90¯ | 118¯ | 135¯ | 150¯ | C | 1 | Understand
132 | KM-04 | KT0503 | Tool Sharpening & Maintenance | Drill bits | TF | A poorly sharpened drill bit can cause wandering and overheating. | True | False |  |  |  | A | 1 | Apply
133 | KM-04 | KT0504 | Tool Sharpening & Maintenance | Grinding | MCQ | A grinding wheel must be: | Loose | Unbalanced | Ring-tested | Painted | Heated | C | 1 | Remember
134 | KM-04 | KT0504 | Tool Sharpening & Maintenance | Grinding | TF | A cracked grinding wheel must never be used. | True | False |  |  |  | A | 1 | Remember
135 | KM-04 | KT0504 | Tool Sharpening & Maintenance | Grinding | MCQ | Dressing a grinding wheel: | Sharpens tools | Cleans and reshapes the wheel | Cools the wheel | Removes rust | Changes colour | B | 1 | Understand
136 | KM-04 | KT0504 | Tool Sharpening & Maintenance | Grinding | TF | A diamond dresser is commonly used for wheel dressing. | True | False |  |  |  | A | 1 | Remember
137 | KM-04 | KT0505 | Tool Sharpening & Maintenance | Maintenance | MCQ | Tools must be stored in: | Damp areas | Dirty boxes | Clean, dry places | On the floor | In coolant | C | 1 | Understand
138 | KM-04 | KT0505 | Tool Sharpening & Maintenance | Maintenance | TF | Rust can damage tools and reduce accuracy. | True | False |  |  |  | A | 1 | Understand
139 | KM-04 | KT0505 | Tool Sharpening & Maintenance | Maintenance | MCQ | Wooden handles must be checked for: | Colour | Cracks and looseness | Weight | Temperature | Length | B | 1 | Apply
140 | KM-04 | KT0505 | Tool Sharpening & Maintenance | Maintenance | TF | Loose hammer handles must be repaired or replaced immediately. | True | False |  |  |  | A | 1 | Apply
141 | KM-04 | KT0506 | Tool Sharpening & Maintenance | Safe handling | MCQ | When grinding, the operator should stand: | Directly in front of the wheel | Slightly to the side | Behind the grinder | On top of the grinder | Far away | B | 1 | Understand
142 | KM-04 | KT0506 | Tool Sharpening & Maintenance | Safe handling | TF | A grinder must reach full speed before contacting the tool. | True | False |  |  |  | A | 1 | Apply
143 | KM-04 | KT0506 | Tool Sharpening & Maintenance | Safe handling | MCQ | Sparks from grinding must be directed: | Toward operator | Toward flammable materials | Away from operator | Upwards | Into coolant | C | 1 | Apply
144 | KM-04 | KT0506 | Tool Sharpening & Maintenance | Safe handling | TF | Gloves must NOT be worn when using a grinder. | True | False |  |  |  | A | 1 | Remember
145 | KM-04 | KT0507 | Tool Sharpening & Maintenance | Tool care | MCQ | Cutting tools must be lubricated to prevent: | Rust | Overheating | Wear | All of the above | None | D | 1 | Understand
146 | KM-04 | KT0507 | Tool Sharpening & Maintenance | Tool care | TF | Oil stones are used for fine sharpening. | True | False |  |  |  | A | 1 | Remember
147 | KM-04 | KT0507 | Tool Sharpening & Maintenance | Tool care | MCQ | A blunt tool increases: | Accuracy | Safety | Cutting force | Tool life | Surface finish | C | 1 | Understand
148 | KM-04 | KT0507 | Tool Sharpening & Maintenance | Tool care | TF | Sharp tools reduce the risk of slipping and injury. | True | False |  |  |  | A | 1 | Apply
149 | KM-04 | KT0508 | Tool Sharpening & Maintenance | Inspection | MCQ | Tools must be inspected: | Only when broken | Before and after use | Once a year | Only by supervisors | Never | B | 1 | Apply
150 | KM-04 | KT0508 | Tool Sharpening & Maintenance | Inspection | TF | Regular inspection helps prevent accidents and tool failure. | True | False |  |  |  | A | 1 | Understand
151 | KM-04 | KT0601 | Practical Skills | Marking-off | MCQ | A scriber is used to: | Measure angles | Mark lines on metal | Cut metal | Drill holes | Remove burrs | B | 1 | Remember
152 | KM-04 | KT0601 | Practical Skills | Marking-off | TF | A scriber produces fine, accurate lines on metal surfaces. | True | False |  |  |  | A | 1 | Understand
153 | KM-04 | KT0601 | Practical Skills | Marking-off | MCQ | A centre punch is used to: | Remove rust | Mark drill starting points | Measure depth | Cut threads | File edges | B | 1 | Apply
154 | KM-04 | KT0601 | Practical Skills | Marking-off | TF | Centre punch marks help prevent drill wandering. | True | False |  |  |  | A | 1 | Apply
155 | KM-04 | KT0602 | Practical Skills | Cutting | MCQ | A hacksaw should be used with: | Fast, short strokes | Slow, long strokes | Random strokes | No pressure | Circular motion | B | 1 | Understand
156 | KM-04 | KT0602 | Practical Skills | Cutting | TF | The correct cutting action with a hacksaw is to apply pressure on the forward stroke only. | True | False |  |  |  | A | 1 | Apply
157 | KM-04 | KT0602 | Practical Skills | Cutting | MCQ | When cutting metal, the workpiece must be: | Held by hand | Clamped securely | Suspended freely | Placed on the floor | Held loosely | B | 1 | Apply
158 | KM-04 | KT0602 | Practical Skills | Cutting | TF | Loose workpieces can cause blade breakage. | True | False |  |  |  | A | 1 | Understand
159 | KM-04 | KT0603 | Practical Skills | Drilling | MCQ | Before drilling, the operator must: | Increase speed | Secure the workpiece | Remove PPE | Use maximum feed | Tap the drill | B | 1 | Apply
160 | KM-04 | KT0603 | Practical Skills | Drilling | TF | Drilling metal requires lower speeds than drilling wood. | True | False |  |  |  | A | 1 | Understand
161 | KM-04 | KT0603 | Practical Skills | Drilling | MCQ | Cutting fluid is used during drilling to: | Increase friction | Reduce heat and wear | Increase noise | Reduce accuracy | Harden the drill | B | 1 | Understand
162 | KM-04 | KT0603 | Practical Skills | Drilling | TF | A blunt drill bit can cause overheating and poor accuracy. | True | False |  |  |  | A | 1 | Apply
163 | KM-04 | KT0604 | Practical Skills | Tapping | MCQ | A tap is used to: | Cut external threads | Cut internal threads | Drill holes | Measure pitch | Remove burrs | B | 1 | Remember
164 | KM-04 | KT0604 | Practical Skills | Tapping | TF | Tapping requires frequent reversing to break chips. | True | False |  |  |  | A | 1 | Apply
165 | KM-04 | KT0604 | Practical Skills | Tapping | MCQ | The correct tool for holding a tap is a: | Spanner | Tap wrench | Pliers | Hammer | Drill chuck | B | 1 | Understand
166 | KM-04 | KT0604 | Practical Skills | Tapping | TF | Using oil during tapping reduces friction and tool breakage. | True | False |  |  |  | A | 1 | Apply
167 | KM-04 | KT0605 | Practical Skills | Assembly | MCQ | When assembling components, bolts should be tightened: | Randomly | Evenly and in sequence | As tight as possible | Without washers | With pliers | B | 1 | Apply
168 | KM-04 | KT0605 | Practical Skills | Assembly | TF | Over?tightening bolts can strip threads. | True | False |  |  |  | A | 1 | Understand
169 | KM-04 | KT0605 | Practical Skills | Assembly | MCQ | Washers are used to: | Increase friction | Distribute load | Reduce bolt length | Increase torque | Replace nuts | B | 1 | Understand
170 | KM-04 | KT0605 | Practical Skills | Assembly | TF | Spring washers help prevent nuts from loosening. | True | False |  |  |  | A | 1 | Remember
171 | KM-04 | KT0606 | Practical Skills | Accuracy | MCQ | Accuracy in practical work depends on: | Correct tools | Proper technique | Good measurement | All of the above | None | D | 1 | Understand
172 | KM-04 | KT0606 | Practical Skills | Accuracy | TF | Accurate marking-off improves final assembly quality. | True | False |  |  |  | A | 1 | Understand
173 | KM-04 | KT0606 | Practical Skills | Accuracy | MCQ | Burrs on a workpiece should be removed using a: | Hammer | File | Spanner | Drill | Punch | B | 1 | Apply
174 | KM-04 | KT0606 | Practical Skills | Accuracy | TF | Burrs can affect measurement accuracy. | True | False |  |  |  | A | 1 | Understand
175 | KM-04 | KT0607 | Practical Skills | Safe practice | MCQ | Before using any tool, the operator must: | Ignore defects | Inspect the tool | Throw it | Use maximum force | Remove PPE | B | 1 | Apply
176 | KM-04 | KT0607 | Practical Skills | Safe practice | TF | Damaged tools increase the risk of accidents. | True | False |  |  |  | A | 1 | Understand
177 | KM-04 | KT0607 | Practical Skills | Safe practice | MCQ | When cutting or drilling, safety glasses must be worn to protect: | Hands | Feet | Eyes | Ears | Clothing | C | 1 | Remember
178 | KM-04 | KT0607 | Practical Skills | Safe practice | TF | PPE must be worn according to workshop rules. | True | False |  |  |  | A | 1 | Remember
179 | KM-04 | KT0608 | Practical Skills | Applications | MCQ | Marking-off blue is used to: | Cool metal | Improve visibility of lines | Remove rust | Harden surfaces | Reduce friction | B | 1 | Understand
180 | KM-04 | KT0608 | Practical Skills | Applications | TF | Marking-off blue helps produce more accurate layout lines. | True | False |  |  |  | A | 1 | Apply
181 | KM-04 | KT0701 | Power Tool Safety | Regulations | MCQ | Power tools must comply with: | Personal preference | National safety standards | Workshop rules only | Operator judgement | No regulations | B | 1 | Understand
182 | KM-04 | KT0701 | Power Tool Safety | Regulations | TF | Only approved and certified power tools may be used in training workshops. | True | False |  |  |  | A | 1 | Remember
183 | KM-04 | KT0701 | Power Tool Safety | Regulations | MCQ | The purpose of safety regulations is to: | Slow work | Increase risk | Protect operators | Reduce accuracy | Increase noise | C | 1 | Understand
184 | KM-04 | KT0701 | Power Tool Safety | Regulations | TF | Operators must follow manufacturer instructions at all times. | True | False |  |  |  | A | 1 | Apply
185 | KM-04 | KT0702 | Power Tool Safety | Inspections | MCQ | Power tools must be inspected: | Once a year | Before each use | Only when broken | Only by supervisors | Never | B | 1 | Apply
186 | KM-04 | KT0702 | Power Tool Safety | Inspections | TF | Damaged tools must be removed from service immediately. | True | False |  |  |  | A | 1 | Apply
187 | KM-04 | KT0702 | Power Tool Safety | Inspections | MCQ | A frayed power cord is a: | Minor issue | Cosmetic defect | Serious electrical hazard | Normal condition | Acceptable risk | C | 1 | Understand
188 | KM-04 | KT0702 | Power Tool Safety | Inspections | TF | Tools with missing guards must not be used. | True | False |  |  |  | A | 1 | Remember
189 | KM-04 | KT0703 | Power Tool Safety | Risk control | MCQ | The MOST effective risk control measure is: | PPE | Training | Elimination of hazards | Warning signs | Slowing down | C | 1 | Understand
190 | KM-04 | KT0703 | Power Tool Safety | Risk control | TF | PPE is the last line of defence against hazards. | True | False |  |  |  | A | 1 | Understand
191 | KM-04 | KT0703 | Power Tool Safety | Risk control | MCQ | Guards on power tools are used to: | Increase speed | Protect the operator | Reduce accuracy | Store tools | Improve finish | B | 1 | Remember
192 | KM-04 | KT0703 | Power Tool Safety | Risk control | TF | Guards must always be in place during operation. | True | False |  |  |  | A | 1 | Apply
193 | KM-04 | KT0704 | Power Tool Safety | Electrical safety | MCQ | Electrical tools must be connected to: | Damaged sockets | Approved outlets | Loose wires | Extension cords only | Any available source | B | 1 | Understand
194 | KM-04 | KT0704 | Power Tool Safety | Electrical safety | TF | Water near electrical tools increases the risk of shock. | True | False |  |  |  | A | 1 | Understand
195 | KM-04 | KT0704 | Power Tool Safety | Electrical safety | MCQ | Before cleaning a power tool, it must be: | Running slowly | Unplugged | Heated | Oiled | Switched to maximum speed | B | 1 | Apply
196 | KM-04 | KT0704 | Power Tool Safety | Electrical safety | TF | Only authorised personnel may repair electrical tools. | True | False |  |  |  | A | 1 | Remember
197 | KM-04 | KT0705 | Power Tool Safety | Safe operation | MCQ | When using a grinder, the operator must stand: | Directly in line with the wheel | Slightly to the side | Behind the grinder | On top of the grinder | Far away | B | 1 | Apply
198 | KM-04 | KT0705 | Power Tool Safety | Safe operation | TF | A grinder must reach full speed before contacting the workpiece. | True | False |  |  |  | A | 1 | Apply
199 | KM-04 | KT0705 | Power Tool Safety | Safe operation | MCQ | Sparks from grinding must be directed: | Toward operator | Toward flammable materials | Away from operator | Upwards | Into coolant | C | 1 | Apply
200 | KM-04 | KT0705 | Power Tool Safety | Safe operation | TF | Cutting discs must never be used for side grinding. | True | False |  |  |  | A | 1 | Remember
201 | KM-04 | KT0706 | Power Tool Safety | PPE | MCQ | The MOST important PPE when grinding is: | Gloves | Safety glasses and face shield | Earplugs only | Apron | Hard hat | B | 1 | Understand
202 | KM-04 | KT0706 | Power Tool Safety | PPE | TF | Eye protection is mandatory when using any power tool. | True | False |  |  |  | A | 1 | Remember
203 | KM-04 | KT0706 | Power Tool Safety | PPE | MCQ | Hearing protection is required when noise levels: | Are low | Are comfortable | Exceed safe limits | Are unknown | Are ignored | C | 1 | Understand
204 | KM-04 | KT0706 | Power Tool Safety | PPE | TF | PPE reduces but does not eliminate risk. | True | False |  |  |  | A | 1 | Understand
205 | KM-04 | KT0707 | Power Tool Safety | Legal compliance | MCQ | Training records must be: | Ignored | Updated regularly | Destroyed | Hidden | Random | B | 1 | Understand
206 | KM-04 | KT0707 | Power Tool Safety | Legal compliance | TF | Only trained and authorised persons may operate power tools. | True | False |  |  |  | A | 1 | Remember
207 | KM-04 | KT0707 | Power Tool Safety | Legal compliance | MCQ | Safety signage must be: | Removed | Ignored | Clearly visible | Hidden | Optional | C | 1 | Understand
208 | KM-04 | KT0707 | Power Tool Safety | Legal compliance | TF | Employers must provide safe equipment and training. | True | False |  |  |  | A | 1 | Understand
209 | KM-04 | KT0708 | Power Tool Safety | Emergency response | MCQ | In case of an accident, the first step is to: | Panic | Continue working | Stop the machine | Ignore it | Remove PPE | C | 1 | Apply
